"Time Stamp","Time Zone","Name","PTID","Load"
"07/12/2024 02:30:00","EDT","N.Y.C.",61761,6607.147
"07/12/2024 02:30:00","EDT","NORTH",61755,645.0867
"07/12/2024 02:30:00","EDT","WEST",61752,1682.4598
"07/12/2024 02:35:00","EDT","CAPITL",61757,1454.3896
"07/12/2024 02:35:00","EDT","CENTRL",61754,1604.3411
"07/12/2024 02:35:00","EDT","DUNWOD",61760,750.4246
"07/12/2024 02:35:00","EDT","GENESE",61753,1021.7222
"07/12/2024 02:35:00","EDT","HUD VL",61758,1151.8694
"07/12/2024 02:35:00","EDT","LONGIL",61762,2558.7285
"07/12/2024 02:35:00","EDT","MHK VL",61756,778.0922
"07/12/2024 02:35:00","EDT","MILLWD",61759,316.3501
"07/12/2024 02:35:00","EDT","N.Y.C.",61761,6564.059
"07/12/2024 02:35:00","EDT","NORTH",61755,659.8356
"07/12/2024 02:35:00","EDT","WEST",61752,1690.8787
"07/12/2024 02:40:00","EDT","CAPITL",61757,1459.6302
"07/12/2024 02:40:00","EDT","CENTRL",61754,1598.5798
"07/12/2024 02:40:00","EDT","DUNWOD",61760,750.499
"07/12/2024 02:40:00","EDT","GENESE",61753,1027.2568
"07/12/2024 02:40:00","EDT","HUD VL",61758,1147.0095
"07/12/2024 02:40:00","EDT","LONGIL",61762,2559.867
"07/12/2024 02:40:00","EDT","MHK VL",61756,788.7138
"07/12/2024 02:40:00","EDT","MILLWD",61759,311.8446
"07/12/2024 02:40:00","EDT","N.Y.C.",61761,6571.698
"07/12/2024 02:40:00","EDT","NORTH",61755,645.2977
"07/12/2024 02:40:00","EDT","WEST",61752,1682.0593
"07/12/2024 02:45:00","EDT","CAPITL",61757,1450.0311
"07/12/2024 02:45:00","EDT","CENTRL",61754,1643.3267
"07/12/2024 02:45:00","EDT","DUNWOD",61760,744.1088
"07/12/2024 02:45:00","EDT","GENESE",61753,1023.9487
"07/12/2024 02:45:00","EDT","HUD VL",61758,1151.9912
"07/12/2024 02:45:00","EDT","LONGIL",61762,2541.3484
"07/12/2024 02:45:00","EDT","MHK VL",61756,786.0251
"07/12/2024 02:45:00","EDT","MILLWD",61759,322.7477
"07/12/2024 02:45:00","EDT","N.Y.C.",61761,6550.2617
"07/12/2024 02:45:00","EDT","NORTH",61755,639.8665
"07/12/2024 02:45:00","EDT","WEST",61752,1673.0967
"07/12/2024 02:50:00","EDT","CAPITL",61757,1451.6228
"07/12/2024 02:50:00","EDT","CENTRL",61754,1592.5933
"07/12/2024 02:50:00","EDT","DUNWOD",61760,736.0459
"07/12/2024 02:50:00","EDT","GENESE",61753,1023.8324
"07/12/2024 02:50:00","EDT","HUD VL",61758,1132.9697
"07/12/2024 02:50:00","EDT","LONGIL",61762,2533.7825
"07/12/2024 02:50:00","EDT","MHK VL",61756,770.4827
"07/12/2024 02:50:00","EDT","MILLWD",61759,322.1054
"07/12/2024 02:50:00","EDT","N.Y.C.",61761,6555.7544
"07/12/2024 02:50:00","EDT","NORTH",61755,648.1469
"07/12/2024 02:50:00","EDT","WEST",61752,1664.2659
"07/12/2024 02:55:00","EDT","CAPITL",61757,1441.7836
"07/12/2024 02:55:00","EDT","CENTRL",61754,1629.7566
"07/12/2024 02:55:00","EDT","DUNWOD",61760,734.881
"07/12/2024 02:55:00","EDT","GENESE",61753,1026.1687
"07/12/2024 02:55:00","EDT","HUD VL",61758,1123.9095
"07/12/2024 02:55:00","EDT","LONGIL",61762,2527.9287
"07/12/2024 02:55:00","EDT","MHK VL",61756,785.4066
"07/12/2024 02:55:00","EDT","MILLWD",61759,316.3932
"07/12/2024 02:55:00","EDT","N.Y.C.",61761,6538.4287
"07/12/2024 02:55:00","EDT","NORTH",61755,642.4439
"07/12/2024 02:55:00","EDT","WEST",61752,1676.0542
"07/12/2024 03:00:00","EDT","CAPITL",61757,1438.574
"07/12/2024 03:00:00","EDT","CENTRL",61754,1619.5918
"07/12/2024 03:00:00","EDT","DUNWOD",61760,738.9283
"07/12/2024 03:00:00","EDT","GENESE",61753,1022.6139
"07/12/2024 03:00:00","EDT","HUD VL",61758,1139.9697
"07/12/2024 03:00:00","EDT","LONGIL",61762,2518.9583
"07/12/2024 03:00:00","EDT","MHK VL",61756,780.9116
"07/12/2024 03:00:00","EDT","MILLWD",61759,305.6019
"07/12/2024 03:00:00","EDT","N.Y.C.",61761,6513.169
"07/12/2024 03:00:00","EDT","NORTH",61755,642.3818
"07/12/2024 03:00:00","EDT","WEST",61752,1660.8345
"07/12/2024 03:05:00","EDT","CAPITL",61757,1437.3666
"07/12/2024 03:05:00","EDT","CENTRL",61754,1634.6675
"07/12/2024 03:05:00","EDT","DUNWOD",61760,729.9341
"07/12/2024 03:05:00","EDT","GENESE",61753,1020.428
"07/12/2024 03:05:00","EDT","HUD VL",61758,1111.7275
"07/12/2024 03:05:00","EDT","LONGIL",61762,2507.733
"07/12/2024 03:05:00","EDT","MHK VL",61756,787.9705
"07/12/2024 03:05:00","EDT","MILLWD",61759,320.0338
"07/12/2024 03:05:00","EDT","N.Y.C.",61761,6494.8823
"07/12/2024 03:05:00","EDT","NORTH",61755,633.4269
"07/12/2024 03:05:00","EDT","WEST",61752,1661.407
"07/12/2024 03:10:00","EDT","CAPITL",61757,1425.6278
"07/12/2024 03:10:00","EDT","CENTRL",61754,1641.0103
"07/12/2024 03:10:00","EDT","DUNWOD",61760,731.8403
"07/12/2024 03:10:00","EDT","GENESE",61753,1017.8032
"07/12/2024 03:10:00","EDT","HUD VL",61758,1123.5443
"07/12/2024 03:10:00","EDT","LONGIL",61762,2508.4631
"07/12/2024 03:10:00","EDT","MHK VL",61756,773.3728
